id,category,test,status,evidence_or_reason,recommended_action
F087,Packaging,Case Atlas v0.2 zip exists and opened.,PASS,TRACE_ME_Case_Atlas_v0_2_2026_06_16.zip present.,No action needed.
F088,Packaging,AI Review Digest v0.1 zip exists and opened.,PASS,TRACE_ME_AI_Review_Digest_v0_1_2026_06_16.zip present.,No action needed.
F089,Stack coherence,"Bootstrap, Concordance, Kernel, Ledger, Atlas, Digest are all present as separate roles.",PASS,Current stack artifacts all present.,Maintain role separation.
F090,Stack coherence,Bootstrap collection should not absorb every support artifact.,PASS,Support artifacts remain separate except linked Concordance in collection.,Avoid making one giant bundle unless needed for handoff.
F091,Stack coherence,Kernel should be the operational payload.,PASS,Kernel v0.2 is explicitly usable worksheet/check.,Use Kernel for application tests.
F092,Stack coherence,Concordance should remain unification layer.,PASS,Concordance v0.4 maps operators to established counterparts and case layers.,Do not turn it into narrative essay.
F093,Stack coherence,Claims Ledger should remain status memory.,PASS,Ledger v0.3 records status/falsifiers/must-not-claim.,Use ledger before promoting claims.
F094,Stack coherence,Review Digest should not be expanded after every AI comment.,WARN,Digest exists; repeated review updates could create praise-loop bureaucracy.,Only update digest when a review adds a new structural weakness or role.
F095,Stack coherence,Next build should not automatically be another bootstrap.,PASS,Recent artifacts integrated Tubman before adding another case.,Add new bootstrap only for missing structural role.
F096,Stack coherence,NHTSA empirical thread should remain separate from bootstrap/case stack.,PASS,NHTSA separation appears in review/ledger text.,Return to data contact only when ready.
F097,Stack coherence,The project should preserve exploratory modelling mode.,PASS,Artifacts repeatedly state exploratory / not proof.,Do not freeze exploration into canon too early.
F098,Stack coherence,The project should avoid method paralysis.,PASS,Review Digest blocks operational gap -> stop_building.,Build proportionately.
F099,Stack coherence,The current stack should be summarized in one handoff map soon.,WARN,Many files now exist; reload burden rising.,Consider a compact MANIFEST / READ_ORDER artifact next.
F100,Stack coherence,No blocker found requiring immediate rewrite.,PASS,"Warnings are compression/safety-note risks, not structural blockers.",Proceed with care; no emergency rebuild.
