id,category,test,status,evidence_or_reason,recommended_action
GDA039,Concept hygiene,Self-improvement must not become the whole of ethics.,PASS,Bootstrap guard found.,No action needed.
GDA040,Operational gap,No measurement thresholds should be invented.,PASS,Governance/threshold gap preserved.,No action needed.
GDA041,Operational gap,No new numeric score should be introduced.,PASS,False precision score guards remain.,No action needed.
GDA042,Operational gap,Training-loop branch needs future pressure before operationalization.,PASS,Candidate language present.,No action needed.
GDA043,Stack coherence,Current stack versions must be updated in front door.,PASS,Front-door current stack table updated.,No action needed.
GDA044,Stack coherence,Old Bootstrap v0.3 handoff is now stale.,WARN,New v0.4 exists; previous one-zip handoff v0.1 is stale.,Build current-stack handoff v0.2 after this audit.
GDA045,Stack coherence,Old Falsification Audit v0.1 is pre-Groundhog.,WARN,The old 100-check audit predates Groundhog.,Label old audit as pre-Groundhog or build updated audit later.
GDA046,Stack coherence,Review Digest v0.1 is pre-Groundhog reviews.,WARN,Review Digest remains useful but does not include Groundhog-specific review.,Do not update unless external review adds new weakness.
GDA047,Stack coherence,Claims Ledger row count now 50; bloat risk rising.,WARN,Claims Ledger v0.4 has 50 rows.,"Consider future Top-20 compression, not now."
GDA048,Stack coherence,Concordance now has multiple layers; one-sheet need rising.,WARN,Concordance now has Tubman and Groundhog layers.,Future public one-sheet may be useful.
GDA049,Stack coherence,Bootstrap count now 9 including Rosetta; overload risk.,WARN,Active set now has Groundhog as 08.,Front Door v0.2 should be primary for external AI.
GDA050,Case selection,Groundhog should earn inclusion by adding new role.,WARN,The file states it adds missing recursion/free-will role but exact 'missing recursion' phrase may vary.,Keep role justification explicit.
GDA051,Case selection,Do not add another case immediately.,WARN,Expected term/guard not found: do not add more bootstraps,No action needed.
GDA052,Audit,No blocker should force rollback.,PASS,Guards are present; no direct blocker found.,No action needed.
GDA053,Audit,"Warnings should be controlled, not fatal.",PASS,Warnings are handoff/compression/status issues.,No action needed.
GDA054,Audit,Next move should reduce reload burden.,WARN,Expected term/guard not found: reload,No action needed.
GDA055,Audit,Groundhog update should not overwrite Rosetta v6 FULL.,PASS,Front Door says not replacement.,No action needed.
GDA056,Audit,Source core remains frozen.,PASS,Front Door says Rosetta v6 remains stable source core.,No action needed.
GDA057,Audit,Combined pack exists for update convenience.,WARN,Expected term/guard not found: update pack,No action needed.
GDA058,Audit,External AIs should read one front-door file first.,WARN,Expected term/guard not found: one-file,No action needed.
GDA059,Audit,No new governance claim should be made.,PASS,Prescriptive governance not-yet language present.,No action needed.
GDA060,Audit,No validation claim should be made.,PASS,Non-validation guards present.,No action needed.
