claim_id,claim,status,source_or_comparator,what_ME_TRACE_adds_if_anything,falsifier_or_demoter,must_not_claim,ME_TRACE_remainder,notes
C20,"Film/history bootstraps are teaching cases, not stress tests or validation.",KNOWN-BOUNDARY,Bootstrap Collection v0.2.1 README / preservation index.,Prevents demonstration from masquerading as evidence.,If future bootstraps are selected to break the model and can actually falsify operators.,Not claiming stories are useless.,,
C21,TRACE can orient a reader but cannot certify its own critic.,KNOWN-BOUNDARY,Claude/Framework domestication critique.,Keeps internal critique from becoming validation theatre.,If an independent external reader can reject/use/misunderstand the work in ways that alter it.,Not claiming internal review has no value.,,
C22,"Internal AI relay critique is pressure simulation, not external validation.",KNOWN-BOUNDARY,Relay identity headers; memory update.,Keeps AI agreement from being treated as evidence of travel.,If the project starts presenting AI convergence as proof.,Not claiming AI critique is worthless.,,
C23,Mechanistic interpretability and Mechanical Ethics are adjacent but not identical.,PATTERNED,"Campfire framing; MI = internal mechanisms, ME = external constraints/permission structure.",ME asks what constraints are needed even when internals remain opaque.,If MI alone can guarantee timely corrigibility at deployment boundary.,Not claiming MI is unimportant.,,
C24,"AI alignment needs constraints on action and correction channels, not only value statements.",PATTERNED,AI safety/corrigibility lineage; ME campfire frame.,"Centers interruptibility, visibility, and correction-before-hardening.",If value-learning or preference alignment alone reliably prevents irreversible harm.,Not claiming values are irrelevant.,,
C25,Kindness with teeth means protective cooperation plus enforceable resistance to exploitation or hidden harm.,PATTERNED,Concordance v0.3; project anchor.,Compresses non-naive care into an operational posture.,If “teeth” become coercive domination or “kindness” becomes symbolic softness.,Not claiming a full moral theory.,,
C26,Trust with verification is stronger than trust alone or suspicion alone.,KNOWN/PATTERNED,"Safety, audit, operational security, governance.",Links relational trust to inspectable correction routes.,If verification destroys all workable trust or trust without verification performs better under stakes.,Not claiming all relationships should be surveilled.,,
C27,"Power/capability can move faster than correction, creating a structural risk gap.",PATTERNED,"Control theory, governance, AI safety, institutional failure.",ME/TRACE expresses the gap as a clocked correction problem.,If high-capability systems routinely include proportionately faster independent correction.,Not claiming power is inherently bad.,,
C28,A safeguard is not real unless it can bite in time.,PATTERNED,"Safety engineering, enforcement theory, project artifacts.",Combines enforceability with timing.,If non-binding safeguards reliably prevent hardening under adversarial/pressured conditions.,Not claiming every safeguard must be punitive.,,
C29,Safeguards themselves require safeguards when they become power paths.,CANDIDATE DISTINCTIVE,Recursive brake / frontier AI governance artifact; Concordance v0.3.,"Applies corrigibility recursively to brakes, shutdowns, appeals, and reviewers.",If first-order safeguards can be trusted without review even under power concentration.,Not claiming infinite regress; needs bounded stopping rules.,,
C30,Future-space collapse is a useful harm compression but not yet a mature measure.,PATTERNED/HYPOTHESIS,Rosetta / Concordance; future-space operator.,Connects harm to loss of viable options.,If it cannot be operationalised beyond metaphor.,Not claiming all harms reduce cleanly to option-space.,,
C31,"Hope signal means credible evidence that action still matters, not comfort language.",PATTERNED,Children of Men bootstrap lineage; Concordance row.,Ties hope to actionable future-space.,If hope language substitutes for actual option preservation.,Not claiming optimism is evidence.,,
C32,"Pattern-overfit alarm is mandatory: if TRACE explains everything, demote it.",KNOWN-BOUNDARY,Rosetta / Concordance failure mode.,Makes self-falsification part of use contract.,If operators cannot name a possible fail case.,Not claiming the alarm is sufficient by itself.,,
C33,Claims Ledger is needed because global “is it validated?” doubt is too blunt.,PATTERNED,Current artifact strategy.,Turns global uncertainty into per-claim status.,If the ledger becomes a shield against criticism rather than a status map.,Not claiming status tags are proof.,,
C34,The Diagnostic Kernel is useful only if it remains one-page and runnable.,PATTERNED,Kernel v0.1 design constraint.,Prevents tool drift into apparatus.,If real use requires many hidden rules/caveats.,Not claiming minimalism solves all cases.,,
C35,The Concordance should reduce private-symbol dependence.,PATTERNED,Concordance v0.3 purpose.,Maps private operators into shared disciplinary language.,If readers still need the whole private corpus to understand it.,Not claiming glyph layer is useless.,,
C36,Artifact building is legitimate exploratory modelling when it records status and avoids validation claims.,PATTERNED,Mark campfire correction; project discipline.,Allows movement without false proof.,If artifacts replace data contact indefinitely while claiming progress against reality.,Not claiming building equals validation.,,
R037,TRACE is currently strongest as a diagnostic/design checklist and training/orientation framework.,review_supported_pattern,Copilot review; Gemini review; Claude artifact strategy; internal Kernel/Concordance stack.,,"If users cannot apply the Kernel to real cases without confusion or if ordinary incident-review checklists cover the same work with less distortion, demote to teaching vocabulary.",Do not claim TRACE is validated or superior to expert review.,"Makes time, memory, method, uncertainty, and correction-before-hardening inspectable in one compact checklist.",Added from AI Review Digest v0.1.
R038,"TRACE is not yet a prescriptive governance tool without operational definitions, thresholds, authority mapping, and empirical anchors.",known_limitation,Copilot review; prior NHTSA feasibility discussion; Diagnostic Kernel status guard.,,"If a domain-specific operationalisation with measurement rules and governance roles is built and survives pilot use, revise this limitation for that domain only.",Do not use TRACE as a scoring/certification system without measurement rules.,"Identifies what must be operationalised before governance use: clocks, K-factors, authority, enforcement, repair.",Added from AI Review Digest v0.1.
R039,The bootstrap cases are legible to external AI readers as teaching cases.,comprehension_signal_not_validation,Gemini review; Copilot review; Claude review of Apollo/Tubman collection.,,"If fresh readers misread bootstraps as validation, proof, or mythic belief system, strengthen status labels or demote bootstraps to private teaching notes.",Do not claim teaching-case legibility validates TRACE.,"Bootstraps can communicate operators like K-gate, correction-before-hardening, exit routes, and anti-domestication.",Added from AI Review Digest v0.1.
R040,"AI review convergence is useful as comprehension, drift, and weakness signal, but not as external validation.",boundary_claim,Claude anti-domestication critique; Framework review digest; relay discipline.,,"If the project begins citing AI agreement as validation, this boundary has failed and review digest should be marked contaminated.","Do not treat Copilot, Gemini, Claude, or Framework agreement as proof of external value.",Preserves value of AI pressure while blocking the internal-validation loop.,Added from AI Review Digest v0.1.
T041,Legality is not identical to legitimacy; a lawful system can be the harm carrier.,known_patterned_boundary,"Abolitionism, human rights, civil disobedience traditions; Harriet Tubman bootstrap.",,Demote if used to imply all law is predatory or to bypass corrigible due process without evidence.,Do not claim all institutions are illegitimate or that legality never matters.,Turns the distinction into an operational branch: internal correction may fail if the legal channel enforces the harm.,Added after Tubman bootstrap / Concordance v0.4.
T042,"When the official correction channel is itself dangerous or captured, the diagnostic question must include exit route and external constraint.",patterned_operator,Harriet Tubman bootstrap; sanctuary/resistance traditions; witness-protection and emergency safeguarding analogues.,,"Demote if exit-route language becomes metaphorical, reckless, or detached from practical subject protection.",Do not claim exit is always possible or always superior to internal correction.,Adds Exit-Route Branch to Diagnostic Kernel v0.2.,Operationalized in Diagnostic Kernel v0.2.
T043,"Secrecy can be ethically protective when visibility would serve the predator, but secrecy is dangerous when it shields power from accountability.",hypothesis_boundary,Harriet Tubman bootstrap; clandestine resistance; witness protection; security studies.,,"If secrecy protects the powerful from review or hides harm from subjects, it fails the exception.",Do not treat opacity as generally good.,Creates protective-secrecy exception to ordinary witness/record visibility preference.,Added after Tubman bootstrap / Concordance v0.4.
T044,"Care with teeth means option-space restoration under constraint, not sentiment alone.",patterned,"Care ethics, liberation ethics, Samwise bootstrap, Harriet Tubman bootstrap.",,Demote if the phrase becomes motivational rhetoric without operational consequence.,Do not reduce care to rescue fantasy or savior mythology.,"Links care to route, burden-bearing, verification, and practical future-space preservation.",Added after Tubman bootstrap / Concordance v0.4.
T045,The Diagnostic Kernel must branch between internal correction and exit/protection when the system type changes.,artifact_design_claim,Diagnostic Kernel v0.2; Tubman bootstrap; Concordance v0.4.,,"If the branch confuses users or encourages overclassification of systems as predatory, simplify or demote.",Do not claim this branch is a general political theory.,Keeps K-gate from assuming corrigibility in predatory systems.,Added with Kernel v0.2.
G046,"Operational free will can be modeled as recursive branch-selection under constraint, without resolving metaphysical free will.",hypothesis_operator,Groundhog Day bootstrap; compatibilism; action theory; learning theory.,,Demote if the operator requires uncaused choice or cannot distinguish agency from random variation.,Do not claim TRACE proves free will.,Defines freedom as meaningful selection that updates the future selector.,Added after Groundhog Day bootstrap / Concordance v0.5.
G047,Recursion and repeated feedback do not guarantee moral progress.,known_guardrail,Groundhog Day bootstrap; reinforcement learning; habit formation; addiction/compulsion counterexamples.,,"If TRACE treats iteration as inherently improving, this guardrail has failed.",Do not claim enough repetition makes agents virtuous.,"The loop can train care, manipulation, despair, or exploitation depending on reward, memory, and method constraints.",Added as anti-romantic recursion guard.
G048,"A training loop must be judged by what policy it teaches the chooser to become, not only by whether it converges.",alignment_relevant_hypothesis,Groundhog Day bootstrap; reinforcement learning; reward hacking literature as comparator.,,Demote if this adds nothing beyond ordinary reward-specification analysis.,Do not claim convergence equals alignment.,Adds a policy-shaping question to TRACE: what is the loop selecting for?,Candidate for future Kernel v0.3 only after pressure.
G049,The escape condition in recursive systems is a moral/structural test of what counts as success.,patterned_operator,Groundhog Day bootstrap; dynamical systems; moral development; institutional exit criteria.,,Demote if exit-condition language becomes vague spiritual closure.,Do not claim every system has a clean escape condition.,"Asks whether the system rewards control, appearance, care, truth, or transformed policy.",Added after Groundhog Day bootstrap.
G050,"The Mandelbrot analogy is useful only if it maps real structural recursion, boundary behavior, and iteration; otherwise it is decorative.",boundary_claim,Mandelbrot/complex systems analogy; Groundhog Day bootstrap.,,"If the analogy cannot identify rule, iteration, boundary, and outcome class, remove it.",Do not use Mandelbrot as mystical proof or decorative depth.,"Preserves the analogy as a structural pattern, not aesthetic branding.",Added as analogy discipline guard.
F051,Creation or activation of consequential power creates duties beyond technical success.,patterned_operator,Frankenstein bootstrap; engineering ethics; AI deployment governance; duty of care.,,Demote if creator-duty language becomes total ownership/control forever.,Do not claim creators own created beings or owe total control forever.,Creator responsibility attaches through causal initiation and maintained ability to repair or constrain.,Added after Frankenstein bootstrap / Concordance v0.6.
F052,Created origin and disturbing appearance cannot by themselves erase a subject-claim.,boundary_claim,Frankenstein bootstrap; recognition theory; moral standing debates; bioethics.,,Demote if used as proof of AI personhood rather than as an uncertainty/recognition guard.,Do not claim Frankenstein proves AI personhood.,"Subjecthood inquiry must track stakes, memory, relation, suffering, agency, and future-space rather than convenience.",Subject-boundary caution.
F053,"Abandonment by a creator can be active harm when it closes care, correction, and integration routes.",patterned_operator,Frankenstein bootstrap; care ethics; parenthood ethics; system lifecycle governance.,,Demote if abandonment is treated as always equivalent to harm regardless of capability/stakes/context.,Do not claim every creator remains responsible for all downstream outcomes forever.,Failure to steward can route harm to created subject and downstream subjects.,Bounded creator responsibility.
F054,Technical activation is not ethical completion.,known_guardrail,Frankenstein bootstrap; bioethics; engineering safety; AI model deployment.,,Demote if this collapses into anti-technology rhetoric.,Do not claim creation or technology is inherently wrong.,"A functioning artifact/system may still be ethically incomplete if care, constraint, monitoring, and repair are absent.",Life/death and deployment guard.
F055,"Concealment of creator-causal knowledge can collapse the K-gate by preventing public record, enforcement, and repair.",diagnostic_pattern,Frankenstein bootstrap; incident response; institutional accountability.,,Demote if concealment is asserted without evidence of unique causal knowledge or repair opportunity.,Do not claim every private knowledge gap is culpable concealment.,Private witness without contestable record cannot bind correction.,K-gate link.
F056,"AI alignment requires lifecycle stewardship, not merely initial capability control.",alignment_relevant_hypothesis,Frankenstein bootstrap; AI safety; model lifecycle governance; decommissioning ethics.,,Demote if this adds nothing beyond ordinary deployment-governance practice.,Do not claim Frankenstein maps directly onto current AI personhood.,"Created power requires monitoring, correction, constraint, repair, and answerability across time.",Candidate future branch; not Kernel v0.3 yet.
